,Muncipality,Acreage,City,Address,ImprovementAssessedValue2019,ImprovementFairMarketValue2019,LandAssessedValue2019,LandFairMarketValue2019,TotalAssessedValue2019,TotalFairMarketValue2019,ImprovementAssessedValue2018,ImprovementFairMarketValue2018,LandAssessedValue2018,LandFairMarketValue2018,TotalAssessedValue2018,TotalFairMarketValue2018
46907,Town of Holland          ,5.09,HOLMEN, N8345 FLATEN RD   ,124100,159500,33400,42900,157500,202400,124100,149800,33400,40300,157500,190100
4695,Town of Campbell         ,0.28,LA CROSSE, 2610 JERALD ST   ,150500,162300,38200,41200,188700,203500,150500,161700,38200,41000,188700,202700
26180,City of La Crosse        ,0.129,LA CROSSE, 2409 PROSPECT ST   ,87100,94600,16500,17900,103600,112500,77700,92900,15000,17900,92700,110800
42581,City of Onalaska         ,0.22,ONALASKA, 1217 WILSON ST   ,149100,150700,43200,43700,192300,194400,122200,133100,39500,43000,161700,176100
2342,Town of Burns            ,4.88,BANGOR, N5060 GASLITE RD   ,213400,214400,55900,56200,269300,270600,213400,210000,55900,55000,269300,265000
17076,Town of Shelby           ,0.18,LA CROSSE, 1131 SHOREWOOD DR   ,98800,110400,22300,24900,121100,135300,98800,106500,22300,24000,121100,130500
54346,City of La Crosse        ,0.14,LA CROSSE, 4392 BRICKYARD LN   ,172100,186900,16700,18100,188800,205000,155000,185400,16600,19900,171600,205300
39465,City of La Crosse        ,2.192,LA CROSSE, 5419 ZION RD   ,227500,247000,36400,39500,263900,286500,193300,231200,20000,23900,213300,255100
14232,Town of Onalaska         ,0.29,ONALASKA, N5321 CAREFREE DR   ,141100,181600,21800,28100,162900,209700,141100,171100,21800,26400,162900,197500
64758,Town of Bangor           ,1.03,BANGOR, N3576 STATE ROAD 162      ,38300,44600,10300,12000,48600,56600,38300,43100,10300,11600,48600,54700
30665,City of La Crosse        ,0.103,LA CROSSE, 510 JOHNSON ST   ,88400,96000,12200,13200,100600,109200,66300,79300,9500,11400,75800,90700
46313,Town of Greenfield       ,35.42,COON VALLEY,  COUNTY ROAD M      ,0,0,18000,0,18000,0,0,0,17900,0,17900,0
59260,Town of Bangor           ,42.45,BANGOR,  STATE ROAD 162      ,0,0,31900,0,31900,0,0,0,31900,0,31900,0
59270,Town of Washington       ,12.4,ROCKLAND,  KORN COULEE RD   ,0,0,12500,0,12500,0,0,0,9300,0,9300,0
17474,Town of Shelby           ,0.32,LA CROSSE, W5744 SHERWOOD DR   ,136600,152700,32100,35900,168700,188600,136600,147200,32100,34600,168700,181800
67529,Town of Onalaska         ,0.56,ONALASKA, N5781 COUNTY ROAD OT      ,111300,143200,16800,21600,128100,164800,111300,134900,16800,20400,128100,155300
16242,Town of Shelby           ,0.79,LA CROSSE, W4717 SPRIG ST   ,129300,144500,29500,33000,158800,177500,129300,139400,29500,31800,158800,171200
56498,Town of Onalaska         ,0.834,ONALASKA, W6020 SCHULTZ LN   ,247400,318300,29200,37600,276600,355900,247400,300000,29200,35400,276600,335400
23193,Village of West Salem    ,0.19,WEST SALEM, 357 LINCOLN AVE  N,113900,118500,33700,35100,147600,153600,113900,114800,33700,34000,147600,148800
11578,Town of Holland          ,5.08,HOLMEN, N7400 COUNTY ROAD HD      ,247400,317900,36200,46500,283600,364400,247400,298600,36200,43700,283600,342300
22035,Village of Rockland      ,0.63,ROCKLAND, 130 ROCK ST   E,236200,236400,36300,36300,272500,272700,205200,242600,37400,44200,242600,286800
33111,City of La Crosse        ,0.097,LA CROSSE, 1403 WINNEBAGO ST   ,86600,94000,20500,22300,107100,116300,60600,72500,21500,25700,82100,98200
64670,Village of Holmen        ,0.15,HOLMEN, 215 GRANT ST   ,182000,177100,20000,19500,202000,196600,131100,154400,15000,17700,146100,172100
64408,Town of Onalaska         ,18.79,ONALASKA,  WENDTLAND RD   ,0,0,6000,0,6000,0,0,0,5900,0,5900,0
55953,City of La Crosse        ,0.202,LA CROSSE, 4125 33RD ST   S,169700,184300,30800,33400,200500,217700,128000,153100,30900,37000,158900,190100
66719,Village of Holmen        ,0.578,HOLMEN,  SWEEN DR   ,0,0,51100,49700,51100,49700,0,0,16600,19500,16600,19500
12287,Town of Medary           ,1.64,LA CROSSE, W5381 GOODVIEW PL   ,147700,161500,55900,61100,203600,222600,147700,151800,55900,57500,203600,209300
67987,Town of Onalaska         ,19.31,ONALASKA,  COUNTY ROAD ZN      ,0,0,3400,0,3400,0,0,0,3300,0,3300,0
21242,Village of Holmen        ,0.164,HOLMEN, 2 COMMERCE ST   ,27100,26400,21400,20800,48500,47200,23300,27400,17700,20800,41000,48200
60832,Town of Holland          ,1.0,HOLMEN, W7947 PRAIRIE MEADOWS ST   ,251900,323700,30000,38600,281900,362300,251900,304100,30000,36200,281900,340300
36419,City of La Crosse        ,0.15,LA CROSSE, 1912 20TH ST   S,124000,134600,31200,33900,155200,168500,99500,119000,28900,34600,128400,153600
19915,Village of Bangor        ,0.27,BANGOR, 506 OTTO BOSSHARD ST   ,133400,140900,27600,29100,161000,170000,133400,134900,27600,27900,161000,162800
35646,City of La Crosse        ,0.255,LA CROSSE, 3486 WOODBRIDGE CT   ,211300,229400,15300,16600,226600,246000,185000,221300,15300,18300,200300,239600
38416,City of La Crosse        ,0.28,LA CROSSE, 2930 LOSEY BLVD S,77500,84200,30800,33400,108300,117600,54800,65600,25000,29900,79800,95500
21183,Village of Holmen        ,0.33,HOLMEN, 1801 PINECREST AVE  ,129200,125700,44600,43400,173800,169100,114800,135200,26800,31600,141600,166800
59898,Town of Hamilton         ,0.242,WEST SALEM, N5065 COUNTY ROAD M      ,42000,52300,24000,29900,66000,82200,42000,48800,24000,27900,66000,76700
21116,Village of Holmen        ,0.32,HOLMEN, 325 LONG COULEE RD   ,147100,143100,44400,43200,191500,186300,125600,147900,30200,35600,155800,183500
34819,City of La Crosse        ,0.172,LA CROSSE, 1016 25TH ST   S,99100,107600,20000,21700,119100,129300,85100,101800,17000,20300,102100,122100
21164,Village of Holmen        ,0.27,HOLMEN, 1703 PINECREST AVE  ,176800,172000,43100,41900,219900,213900,128400,151200,27000,31800,155400,183000
38616,City of La Crosse        ,0.189,LA CROSSE, 3212 GLENDALE AVE  ,211700,229900,23100,25100,234800,255000,173100,207100,22800,27300,195900,234400
44805,City of Onalaska         ,0.29,ONALASKA, 217 LARKSPUR LN   E,297500,300600,50000,50500,347500,351100,257400,280300,41900,45600,299300,325900
37157,City of La Crosse        ,0.138,LA CROSSE, 2509 SUNRISE DR   ,116600,126600,20200,21900,136800,148500,93600,112000,16200,19400,109800,131400
11804,Town of Holland          ,0.51,HOLMEN, N7117 OAK ST   ,163100,209600,20000,25700,183100,235300,156800,189300,20000,24100,176800,213400
